Column,Category,Description,Type
successful_dribbles,Offensives,Successful dribbles made by player,integer
successful_fifty_fifty,Offensives,Successful fifty fifty challenges won by player,integer
successful_launches,Offensives,Successful launches made by player,integer
successful_layoffs,Offensives,Successful layoffs made by player,integer
successful_long_passes,Offensives,Successful long passes made by player,integer
successful_open_play_passes,Offensives,Successful open play passes made by player,integer
successful_passes_opposition_half,Offensives,Successful passes in opossition half made by player,integer
successful_passes_own_half,Offensives,Successful passes in own half made by player,integer
successful_short_passes,Offensives,Successful short passes made by player,integer
through_balls,Offensives,Passes into space between defenders made by player,integer
throw_ins_to_opposition_player,Offensives,Throw-ins to an opponent made by player,integer
throw_ins_to_own_player,Offensives,Throw-ins to a teammate made by player,integer
total_fouls_won,Offensives,Total fouls won by player,integer
total_losses_of_possession,Offensives,Total losses of possesion of player,integer
total_successful_passes_excl_crosses_corners,Offensives,Total successful passes excluding crosses corners,integer
total_touches_in_opposition_box,Offensives,Total touches in opposition box made by player,integer
total_unsuccessful_passes_excl_crosses_corners,Offensives,Total unsuccessful passes excluding crosses corners,integer
unsuccessful_corners_into_box,Offensives,Unsuccessful corners into the box made by player,integer
unsuccessful_crosses_corners,Offensives,Unsuccessful crosses corners made by player,integer
unsuccessful_crosses_open_play,Offensives,Unsuccessful crosses in open play made by player,integer
unsuccessful_dribbles,Offensives,Unsuccessful dribbles made by player,integer
unsuccessful_launches,Offensives,Unsuccessful launches made by player,integer
unsuccessful_layoffs,Offensives,Unsuccessful layoffs made by player,integer
unsuccessful_long_passes,Offensives,Unsuccessful long passes made by player,integer
unsuccessful_passes_opposition_half,Offensives,Unsuccessful passes in opossition half made by player,integer
unsuccessful_passes_own_half,Offensives,Unsuccessful passes in own half made by player,integer
unsuccessful_short_passes,Offensives,Unsuccessful short passes made by player,integer
winning_goal,Offensives,Winning goals made by player,integer
